momento_utc,ms,puertos,filas_nuevas,error
2026-08-19T14:15:56+00:00,576,87,365,
2026-08-19T15:50:51+00:00,569,87,187,
2026-08-19T16:59:50+00:00,408,87,148,
2026-08-19T17:54:42+00:00,655,87,157,
2026-08-19T19:12:11+00:00,392,87,163,
2026-08-19T19:57:15+00:00,671,87,96,
2026-08-19T20:58:40+00:00,591,87,162,
2026-08-19T21:55:04+00:00,664,87,102,
2026-08-19T22:54:33+00:00,528,87,147,
2026-08-19T23:46:17+00:00,679,87,144,
2026-08-20T03:12:10+00:00,573,87,173,
2026-08-20T05:06:33+00:00,645,87,174,
2026-08-20T06:03:54+00:00,534,87,140,
2026-08-20T08:07:41+00:00,506,87,190,
2026-08-20T09:55:56+00:00,724,87,82,
2026-08-20T11:02:09+00:00,421,87,99,
2026-08-20T12:02:03+00:00,588,87,90,
2026-08-20T14:19:40+00:00,738,87,194,
