capturado_utc,puerto,frontera,puerto_nombre,cruce,clase,carril,estado,minutos,carriles_abiertos,hora_cbp,puerto_estado,sentido
2023-01-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,20,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,78,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,1,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,47,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,2,,SANDAG,,norte
2023-01-29T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,94,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,54,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,36,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,15,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,7,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,23,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,27,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,19,,SANDAG,,norte
2023-01-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,22,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,2,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,24,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,18,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,9,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,30,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,41,,SANDAG,,norte
2023-01-31T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,29,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,7,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,7,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,12,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,7,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,18,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,17,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,24,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,26,,SANDAG,,norte
2023-02-01T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,32,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,27,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,9,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,17,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,11,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,41,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,8,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,16,,SANDAG,,norte
2023-02-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,32,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,15,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,8,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,15,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,11,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,44,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,7,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,49,,SANDAG,,norte
2023-02-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,10,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,31,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,5,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,10,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,16,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,57,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,7,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,27,,SANDAG,,norte
2023-02-04T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,65,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,16,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,60,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,75,,SANDAG,,norte
2023-02-05T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,43,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,22,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,14,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,15,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,64,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,2,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,6,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,90,,SANDAG,,norte
2023-02-06T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,20,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,26,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,10,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,17,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,11,,SANDAG,,norte
2023-02-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,35,,SANDAG,,norte
